name,address,longitude,latitude,grade,grade_date,grade_change,gradex,gradex_date,gradex_change,gradex2,gradex2_date,gradex2_change,gradex3,gradex3_date
The Cafe Helena Bay Hill,"1392 Russell Road, Helena Bay, Whangarei",174.3273361,-35.4564775,Grade A,2016-05-01,-1,Grade A+,2015-05-01,0,Grade A+, 2014-05-01,,,
The Cheesecake Shop,"1 Lower Tarewa Road, Whangarei",174.3186703,-35.7286799,Grade A+,2015-12-01,0,Grade A+, 2014-12-01,,,,,,
The Cove,"910 Cove Road, Waipu, Whangarei",174.5069165,-36.0298777,Grade A+,2015-11-01,0,Grade A+,2015-05-01,,,,,,
The Deck,"1 Reotahi Road, McLeod Bay, Whangarei",174.323708,-35.7251117,Grade A,2016-04-01,,,,,,,,,
The Fat Camel,"12 Quality Street, Whangarei",174.323708,-35.7251117,Grade A+,2015-11-01,,,,,,,,,
The Fruit and Vege Warehouse,"26 Maunu Road, Maunu, Whangarei",174.3153629,-35.728602,Grade B,2016-06-01,-2,Grade A,2015-06-01,0,Grade A, 2014-06-01,,,
The Good Food Collective,"1375 Whangarei Heads Road, Parua Bay, Whangarei",174.4794392,-35.7695415,Grade A,2016-03-01,,,,,,,,,
The Herekino Street Lunchbar,"10 Herekino Street, Whangarei ",174.328167,-35.728188,Grade A+, 2014-12-01,,,,,,,,,
The Kamo Hotel,"567 Kamo Road, Kamo, Whangarei ",174.299938,-35.682948,Grade A+, 2014-11-01,,,,,,,,,
The Korna Store,"45 Morningside Road, Whangarei",174.320122,-35.734533,Grade A, 2014-08-01,,,,,,,,,
The Lettuce Patch,"413 Otaika Valley Road, Otaika Valley, Whangarei",174.2600452,-35.7747125,Grade A,2015-10-01,0,Grade A, 2014-10-01,,,,,,
The Little Kitchen,"Mobile Shop, Whangarei",174.323708,-35.7251117,Grade A,2015-08-01,,,,,,,,,
The Mustard Seed  Cafe," 26 Rathbone Street, Whangarei",174.321985,-35.723493,Grade A+, 2013-04-01,,,,,,,,,
The New Kitchen,"6 Porowini Avenue, Whangarei",174.3160563,-35.729617,Grade A,2016-05-01,-1,Grade A+,2015-05-01,,,,,,
The Office Cafe,"State Highway 14, Maungatapere, Whangarei",174.237636,-35.7408623,Grade A+,2015-09-01,0,Grade A+, 2014-09-01,,,,,,
The Old Parakao Store Cafe,"2712 Mangakahia Road, Parakao, Whangarei",173.9550384,-35.7138224,Grade A+,2016-02-01,0,Grade A+,2015-12-01,,,,,,
The Old Stone Butter Factory,"8 Butter Factory Lane, Whangarei",174.3201181,-35.7237444,Grade A,2015-12-01,0,Grade A, 2014-12-01,,,,,,
The Piano Bar and Restaurant,"Rust Avenue, Whangarei",174.3180649,-35.7236491,Grade A+,2015-08-01,,,,,,,,,
The Press Cafe in  the Park,"90 Otaika Road, Whangarei",174.3104227,-35.7384337,Grade A,2016-05-01,-1,Grade A+, 2015-04-01,,,,,,
The Roadhouse Lunchbar and Cafe,"Rewa Rewa Road, Whangarei",174.3132502,-35.7522014,Grade A+,2015-05-01,0,Grade A+, 2015-03-01,,,,,,
The Tutukaka Gallery,"Marina Road, Tutukaka, Whangarei",174.5260906,-35.6090796,Grade B,2016-04-01,-3,Grade A+,2016-03-01,,,,,,
The Tutukaka General Store,"270 Matapouri Road, Tutukaka, Whangarei",174.5243805,-35.609975,Grade A,2016-03-01,,,,,,,,,
The Vege Twins,"187 Kamo Road, Whau Valley, Whangarei",174.3151823,-35.7023401,Grade B+,2016-03-01,-1,Grade A, 2015-03-01,0,Grade A, 2014-03-01,,,
The Warehouse,"38 Port Road, Whangarei",174.3294767,-35.7306855,Grade A,2016-05-01,0,Grade A,2015-07-01,,,,,,
The Whole Cake and Caboodle,"2 Gillingham Road, Kamo, Whangarei",174.3116031,-35.6764247,Grade A+,2015-10-01,0,Grade A+, 2014-11-01,,,,,,
Thyme Out Catering,"1 Wilkinson Avenue, Kamo, Whangarei",174.3028851,-35.6844192,Grade A+,2015-07-01,0,Grade A+, 2014-09-01,,,,,,
Tiffany's Coffee  Lounge,"1 James Street, Whangarei",174.3207578,-35.7255946,Grade A,2016-04-01,-1,Grade A+, 2015-04-01,,,,,,
Tiki Eatery and Bar,"3 Wanaka Street, Tikipunga, Whangarei",174.3215403,-35.6839389,Grade A,2015-11-01,,,,,,,,,
Tiki Roast,"81 Paramount Parade, Tikipunga, Whangarei",174.3219802,-35.6829289,Grade A+,2015-09-01,0,Grade A+, 2014-10-01,,,,,,
Tikipunga Bakehouse,"161 Kiripaka Road, Tikipunga, Whangarei",174.3265999,-35.6867845,Grade B,2016-05-01,-3,Grade A+,2015-05-01,2,Grade B+ , 2013-07-01,,,
Tikipunga Foodmarket,"171 Kiripaka Road, Tikipunga, Whangarei",174.326785,-35.6865612,Grade A,2015-07-01,0,Grade A, 2014-08-01,,,,,,
Tikipunga Hot Bread Shop,"173 Kiripaka Road, Tikipunga, Whangarei",174.326611,-35.686702,Grade A+,2015-08-01,0,Grade A+, 2014-09-01,,,,,,
Tikipunga Tavern," 3 Wanaka Street, Tikipunga, Whangarei ",174.320467,-35.684218,Grade A, 2014-11-01,,,,,,,,,
Tikipunga Wholesale Meats,"169 Kiripaka Road, Tikipunga, Whangarei",174.3267887,-35.6866129,Grade A,2016-06-01,0,Grade A,2015-06-01,0,Grade A, 2014-06-01,,,
Titoki Store,"Mangakahia Road, Titoki, Whangarei",174.0142634,-35.7048014,Grade B,2015-12-01,-2,Grade A, 2014-11-01,,,,,,
Tonia's Seafoods,"98 Addison Road, Pataua South, Whangarei",174.5054003,-35.7454153,Grade A,2015-12-01,,,,,,,,,
Tonic," 239A Kamo Road, Whau Valley, Whangarei",174.312511,-35.698695,Grade A+, 2014-10-01,,,,,,,,,
Topsail,"204 Beach Road, Onerahi, Whangarei",174.3614684,-35.7751496,Grade A+,2015-08-01,0,Grade A+, 2014-09-01,,,,,,
Tornado Trading Post," 2A George Street, Hikurangi",174.287645,-35.598582,Grade A, 2014-08-01,,,,,,,,,
Tornado Youth Community Trust,"2A George Street, Hikurangi, Whangarei",174.2876448,-35.5985825,Grade A,2015-08-01,,,,,,,,,
Tote & Poke," 82 Cameron Street, Whangarei ",174.322137,-35.726376,Grade A, 2014-12-01,,,,,,,,,
Traditional Kiwi Kai,"70 Cameron Street, Whangarei",174.3217815,-35.726206,Grade A,2016-04-01,-1,Grade A+, 2015-04-01,,,,,,
Traditional Roast,"63A Walton Street, Whangarei",174.3229159,-35.7257716,Grade D,2016-05-01,-2,Grade B, 2015-04-01,,,,,,
Treasure Island  Trailerpark Store," 88 Mahanga Road, Pataua South, Whangarei",174.528885,-35.718129,Grade A+, 2015-02-01,,,,,,,,,
Tui Crescent Foodmarket,"1 Tui Crescent, Whangarei",174.2827148,-35.7395208,Grade B+,2015-12-01,-1,Grade A, 2014-11-01,,,,,,
Tui Crescent Takeaways,"3 Tui Crescent, Maunu, Whangarei",174.2827412,-35.7396289,Grade B,2016-02-01,-1,Grade B+,2015-10-01,-2,Grade A+, 2014-10-01,,,
Tuk Tuk Coffee Ltd – Kia Van,"Mobile Shop, Whangarei",174.323708,-35.7251117,Grade A,2016-02-01,,,,,,,,,
Tumeric,"Shop 9, Quality Street, Whangarei",174.323708,-35.7251117,Grade A+,2016-03-01,,,,,,,,,
Turkish Delight,"26 Rathbone Street, Whangarei",174.3219992,-35.7235036,Grade A+,2015-07-01,,,,,,,,,
Turkuaz Cafe,"26 Rathbone Street, Whangarei",174.3219992,-35.7235036,Grade B,2016-06-01,,,,,,,,,
Tutukaka General  Store," 270 Matapouri Road, Tutukaka, Whangarei",174.524171,-35.610217,Grade A, 2015-04-01,,,,,,,,,
Twisted Sister Catering,"18 Nova Scotia Drive, Waipu, Whangarei",174.4487001,-35.9835493,Grade A,2016-03-01,-1,Grade A+, 2014-07-01,,,,,,
Two Birds Cafe and Restaurant,"378 Marsden Point Road, Ruakaka",174.455731,-35.874238,Grade A+,2015-07-01,0,Grade A+, 2014-08-01,,,,,,
Two Fish Cafe," 910 Cove Road, Waipu",174.506916,-36.029878,Grade A+, 2014-07-01,,,,,,,,,
Video Ezy Kamo," 475 Kamo Road, Kamo, Whangarei",174.301638,-35.685021,Grade A, 2013-03-01,,,,,,,,,
Vinyl Restaurant & Bar," 14 Rust Avenue, Whangarei",174.319036,-35.723939,Grade A+, 2013-02-01,,,,,,,,,
Volcanic Country,"34 Hawkin Road, Maungatapere, Whangarei",174.236982,-35.739551,Grade A,2016-04-01,0,Grade A, 2015-04-01,,,,,,
Waipu Bakery,"12 The Centre, Waipu, Whangarei",174.446676,-35.984427,Grade D,2016-05-01,-4,Grade A, 2015-04-01,,,,,,
Waipu Cafe/Deli,"29 The Centre, Waipu, Whangarei",174.445931,-35.9844873,Grade B,2016-05-01,-2,Grade A,2015-05-01,0,Grade A, 2015-04-01,,,
Waipu Cove General Store,"893 Cove Road, Waipu Cove, Whangarei",174.505816,-36.029322,Grade B+,2015-11-01,,Grade A, 2013-10-01,,,,,,
Waipu Hotel Kiwi Kai," 4 South Road, Waipu",174.447369,-35.985481,Grade A+, 2014-09-01,,,,,,,,,
Waipu Pizza Barn,"2 Cove Road, Waipu, Whangarei",174.4477751,-35.9850852,Grade A,2016-06-01,-1,Grade A+,2015-05-01,0,Grade A+, 2014-05-01,,,
Waipu Tyres and Automotive,"26 The Centre, Waipu, Whangarei",174.445938,-35.984268,Grade A,2016-05-01,,Grade B, 2015-04-01,,,,,,
Walton Street Cafe,"67 Walton Street, Whangarei",174.3230266,-35.7256514,Grade A+,2015-08-01,,Grade A+, 2014-08-01,,,,,,
Wave Cafe," 1C Ewing Road, Whangarei",174.325834,-35.721799,Grade A, 2014-10-01,,,,,,,,,
West End Schnapper Bar,"47 Maunu Road, Maunu, Whangarei ",174.312401,-35.730794,Grade A+,2015-12-01,0,Grade A+, 2014-11-01,,,,,,
West End Sushi,"119 Maunu Road, Maunu, Whangarei",174.3050754,-35.7343824,Grade B,2016-06-01,,,,,,,,,
Whananaki Beach Store,"2162 Wananaki North Road, Whananaki North, Whangarei",174.454275,-35.513803,Grade B,2016-04-01,,Grade A, 2015-04-01,,,,,,
Whangarei Netball Association,"Kensington Park, Kensington Avenue, Whangarei",174.3180551,-35.709255,Grade A,2015-05-01,,Grade A, 2014-07-01,,,,,,
Whangarei Repertory  Society,"13 Aubrey Road, Regent, Whangarei",174.323907,-35.71738,Grade B, 2015-04-01,,,,,,,,,
Whangarei RSA,"Rust Avenue, Whangarei",174.3180649,-35.7236491,Grade A+,2016-03-01,,,,,,,,,
Whau Valley Dairy,"139 Kamo Road, Whau Valley, Whangarei",174.3142496,-35.7003474,Grade A,2015-11-01,,Grade A, 2014-10-01,,,,,,
Whau Valley Hot Bread Shop,"243 B Kamo Road, Whau Valley, Whangarei",174.3123361,-35.6985062,Grade A+,2015-10-01,,Grade A+,2015-09-01,0,Grade A+, 2014-10-01,,,
Whau Valley Takeaway,"243 A Kamo Road, Whau Valley, Whangarei",174.3124031,-35.6985585,Grade A+, 2014-10-01,,Grade A+,2015-10-01,,,,,,
Wheat Cafe and Catering,"40 Dyer Street, Whangarei",174.313094,-35.758024,Grade A+,2015-12-01,,Grade A+, 2013-10-01,,,,,,
Wicked Cafe & Takeaways," State Highway 1, Ruakaka ",174.444224,-35.901488,Grade A+, 2013-05-01,,,,,,,,,
Wild Thyme,"45 The Centre, Waipu, Whangarei",174.4448955,-35.9842414,Grade B,2016-06-01,,Grade A,2015-05-01,1,Grade B+, 2015-04-01,,,
Wildside Bar and Grill,"47 Vine Street, Whangarei",174.319025,-35.72566,Grade A+,2015-12-01,,Grade A+, 2014-10-01,,,,,,
Xyitol Products Limited,"291 Ody Road, Taurikura, Whangarei",174.323708,-35.7251117,Grade A,2015-07-01,0,Grade A, 2014-07-01,,,,,,
Ye Korna Dairy," 1 Crawford Crescent, Kamo, Whangarei",174.293944,-35.684616,Grade A,2016-04-01,-1,Grade A+, 2015-03-01,,,,,,
Young's Food Service," 61 Mill Road, Whangarei ",174.325259,-35.707942,Grade A, 2014-12-01,,,,,,,,,
Yummy Roast &  Noodle Bar," 4 Vine Street, Whangarei",174.319097,-35.7257,Grade A, 2015-03-01,,,,,,,,,
